,Node,Neighbor,Weight
0,banner,banner,24
1,banner,cardboard,1
2,banner,door-stuff,2
3,banner,floor-wood,1
4,banner,sand,5
5,banner,tent,2
6,banner,wall-brick,3
7,banner,wall-wood,1
8,banner,tree,1
9,banner,ceiling,5
10,banner,sky,6
11,banner,cabinet,1
12,banner,table,4
13,banner,floor,5
14,banner,dirt,7
15,banner,paper,3
16,banner,building,4
17,banner,wall,15
18,banner,rug,1
19,banner,person,24
20,banner,motorcycle,1
21,banner,backpack,1
22,banner,handbag,1
23,banner,bottle,7
24,banner,cup,2
25,banner,bowl,1
26,banner,pizza,1
27,banner,chair,7
28,banner,dining table,4
29,banner,book,1
30,cardboard,banner,1
31,cardboard,cardboard,3
32,cardboard,road,1
33,cardboard,wall-wood,1
34,cardboard,tree,1
35,cardboard,sky,1
36,cardboard,floor,1
37,cardboard,pavement,1
38,cardboard,dirt,2
39,cardboard,paper,2
40,cardboard,food,1
41,cardboard,building,1
42,cardboard,wall,3
43,cardboard,person,3
44,cardboard,car,1
45,cardboard,motorcycle,1
46,cardboard,bench,1
47,cardboard,backpack,1
48,cardboard,chair,1
49,cardboard,potted plant,1
50,curtain,curtain,4
51,curtain,ceiling,2
52,curtain,table,3
53,curtain,floor,1
54,curtain,wall,4
55,curtain,rug,2
56,curtain,person,4
57,curtain,chair,4
58,curtain,dining table,2
59,curtain,laptop,3
60,curtain,book,1
61,door-stuff,banner,2
62,door-stuff,door-stuff,14
63,door-stuff,sand,3
64,door-stuff,wall-stone,2
65,door-stuff,window,2
66,door-stuff,tree,2
67,door-stuff,ceiling,2
68,door-stuff,sky,4
69,door-stuff,table,3
70,door-stuff,floor,6
71,door-stuff,pavement,6
72,door-stuff,dirt,2
73,door-stuff,building,2
74,door-stuff,wall,14
75,door-stuff,person,14
76,door-stuff,bicycle,1
77,door-stuff,motorcycle,2
78,door-stuff,truck,1
79,door-stuff,handbag,1
80,door-stuff,sports ball,1
81,door-stuff,bottle,4
82,door-stuff,cup,3
83,door-stuff,chair,6
84,door-stuff,couch,1
85,door-stuff,dining table,3
86,door-stuff,laptop,1
87,door-stuff,cell phone,1
88,floor-wood,banner,1
89,floor-wood,floor-wood,1
90,floor-wood,tent,1
91,floor-wood,wall,1
92,floor-wood,rug,1
93,floor-wood,person,1
94,floor-wood,bottle,1
95,floor-wood,cup,1
96,floor-wood,bowl,1
97,floor-wood,pizza,1
98,road,cardboard,1
99,road,road,10
100,road,sky,9
101,road,pavement,6
102,road,dirt,3
103,road,paper,1
104,road,building,5
105,road,wall,1
106,road,person,10
107,road,bicycle,1
108,road,car,4
109,road,motorcycle,5
110,road,bus,6
111,road,truck,3
112,road,bench,1
113,road,backpack,3
114,road,handbag,1
115,road,suitcase,1
116,sand,banner,5
117,sand,door-stuff,3
118,sand,sand,83
119,sand,tent,3
120,sand,wall-brick,2
121,sand,wall-stone,7
122,sand,water,1
123,sand,tree,13
124,sand,ceiling,2
125,sand,sky,65
126,sand,table,1
127,sand,floor,2
128,sand,pavement,6
129,sand,grass,1
130,sand,dirt,22
131,sand,food,1
132,sand,building,15
133,sand,rock,7
134,sand,wall,26
135,sand,things,1
136,sand,person,83
137,sand,bicycle,1
138,sand,car,13
139,sand,motorcycle,14
140,sand,bus,3
141,sand,truck,12
142,sand,bench,1
143,sand,backpack,5
144,sand,handbag,8
145,sand,suitcase,1
146,sand,sports ball,2
147,sand,bottle,2
148,sand,cup,1
149,sand,spoon,1
150,sand,bowl,3
151,sand,chair,5
152,sand,potted plant,2
153,sand,dining table,1
154,sand,book,1
155,tent,banner,2
156,tent,floor-wood,1
157,tent,sand,3
158,tent,tent,4
159,tent,wall-brick,1
160,tent,ceiling,1
161,tent,sky,2
162,tent,dirt,1
163,tent,wall,2
164,tent,rug,1
165,tent,person,4
166,tent,motorcycle,1
167,tent,handbag,1
168,tent,bottle,1
169,tent,cup,1
170,tent,bowl,2
171,tent,pizza,1
172,tent,chair,1
173,towel,towel,2
174,towel,wall-stone,1
175,towel,sky,2
176,towel,paper,1
177,towel,building,1
178,towel,person,2
179,wall-brick,banner,3
180,wall-brick,sand,2
181,wall-brick,tent,1
182,wall-brick,wall-brick,3
183,wall-brick,tree,1
184,wall-brick,ceiling,1
185,wall-brick,sky,2
186,wall-brick,dirt,3
187,wall-brick,building,2
188,wall-brick,wall,1
189,wall-brick,person,3
190,wall-brick,chair,1
191,wall-stone,door-stuff,2
192,wall-stone,sand,7
193,wall-stone,towel,1
194,wall-stone,wall-stone,12
195,wall-stone,tree,5
196,wall-stone,sky,7
197,wall-stone,floor,1
198,wall-stone,pavement,2
199,wall-stone,dirt,4
200,wall-stone,paper,1
201,wall-stone,food,4
202,wall-stone,building,2
203,wall-stone,rock,3
204,wall-stone,wall,9
205,wall-stone,person,12
206,wall-stone,bicycle,1
207,wall-stone,truck,2
208,wall-stone,handbag,1
209,wall-stone,sports ball,1
